fighter,opponent_fighter,date,sig_str,sig_str_misses,sig_str_attempts,opponent_sig_str,opponent_sig_str_misses,opponent_sig_str_attempts,total_str,total_str_misses,total_str_attempts,opponent_total_str,opponent_total_str_misses,opponent_total_str_attempts,td,td_misses,td_attempts,opponent_td,opponent_td_misses,opponent_td_attempts,head,head_misses,head_attempts,opponent_head,opponent_head_misses,opponent_head_attempts,body,body_misses,body_attempts,opponent_body,opponent_body_misses,opponent_body_attempts,leg,leg_misses,leg_attempts,opponent_leg,opponent_leg_misses,opponent_leg_attempts,distance,distance_misses,distance_attempts,opponent_distance,opponent_distance_misses,opponent_distance_attempts,clinch,clinch_misses,clinch_attempts,opponent_clinch,opponent_clinch_misses,opponent_clinch_attempts,ground,ground_misses,ground_attempts,opponent_ground,opponent_ground_misses,opponent_ground_attempts
Dean Lister,Yushin Okami,2008-12-27,6,33,39,39,38,77,17,35,52,77,40,117,0,11,11,0,0,0,2,31,33,32,38,70,0,1,1,6,0,6,4,1,5,1,0,1,6,30,36,16,28,44,0,3,3,6,0,6,0,0,0,17,10,27
Dean Lister,Jordan Radev,2007-12-29,31,68,99,20,69,89,38,71,109,49,69,118,2,8,10,0,0,0,17,54,71,12,62,74,9,11,20,2,0,2,5,3,8,6,7,13,24,61,85,16,59,75,1,5,6,3,6,9,6,2,8,1,4,5
Dean Lister,Nate Marquardt,2007-01-25,18,25,43,53,45,98,27,28,55,66,46,112,0,11,11,2,0,2,9,23,32,42,42,84,0,0,0,5,3,8,9,2,11,6,0,6,17,23,40,24,35,59,0,2,2,12,2,14,1,0,1,17,8,25
Dean Lister,Jeremy Horn,2008-06-21,6,16,22,2,26,28,9,16,25,15,26,41,1,3,4,0,0,0,5,16,21,2,25,27,0,0,0,0,0,0,1,0,1,0,1,1,5,13,18,2,26,28,0,2,2,0,0,0,1,1,2,0,0,0
Dean Lister,Alessio Sakara,2006-05-27,1,1,2,1,2,3,6,2,8,4,2,6,0,1,1,0,0,0,1,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Deiveson Figueiredo,John Moraga,2018-08-25,29,10,39,14,12,26,46,12,58,19,14,33,2,2,4,0,2,2,20,10,30,6,11,17,9,0,9,6,1,7,0,0,0,2,0,2,6,5,11,8,11,19,1,1,2,4,1,5,22,4,26,2,0,2
Deiveson Figueiredo,Brandon Moreno,2020-12-12,137,101,238,132,116,248,147,101,248,139,117,256,2,2,4,4,4,8,93,88,181,118,109,227,34,11,45,13,7,20,10,2,12,1,0,1,126,94,220,129,111,240,3,4,7,1,4,5,8,3,11,2,1,3
Deiveson Figueiredo,Joseph Morales,2018-02-03,31,31,62,9,23,32,44,32,76,11,24,35,2,0,2,0,1,1,25,26,51,5,19,24,6,5,11,2,2,4,0,0,0,2,2,4,11,16,27,7,13,20,0,0,0,0,1,1,20,15,35,2,9,11
Deiveson Figueiredo,Joseph Benavidez,2020-02-29,25,24,49,46,48,94,25,24,49,46,48,94,1,0,1,0,2,2,18,21,39,28,35,63,7,3,10,8,5,13,0,0,0,10,8,18,20,24,44,36,42,78,2,0,2,10,6,16,3,0,3,0,0,0
Deiveson Figueiredo,Joseph Benavidez,2020-07-18,35,5,40,18,10,28,40,5,45,22,11,33,0,0,0,0,0,0,31,5,36,8,7,15,4,0,4,5,2,7,0,0,0,5,1,6,12,4,16,18,10,28,0,0,0,0,0,0,23,1,24,0,0,0
Deiveson Figueiredo,Alexandre Pantoja,2019-07-27,67,46,113,61,90,151,71,46,117,68,92,160,2,1,3,2,8,10,53,45,98,41,81,122,12,1,13,9,5,14,2,0,2,11,4,15,46,32,78,48,83,131,11,8,19,13,6,19,10,6,16,0,1,1
Deiveson Figueiredo,Marco Beltran,2017-06-03,17,9,26,16,24,40,21,10,31,19,24,43,2,1,3,0,0,0,10,7,17,11,22,33,6,2,8,0,2,2,1,0,1,5,0,5,8,4,12,9,15,24,1,0,1,0,0,0,8,5,13,7,9,16
Deiveson Figueiredo,Jussier Formiga,2019-03-23,14,36,50,26,25,51,41,39,80,51,27,78,0,2,2,3,2,5,6,30,36,19,24,43,7,4,11,5,1,6,1,2,3,2,0,2,9,36,45,15,20,35,3,0,3,2,0,2,2,0,2,9,5,14
Deiveson Figueiredo,Alex Perez,2020-11-21,5,3,8,6,8,14,5,3,8,6,8,14,0,0,0,0,2,2,2,2,4,3,6,9,3,1,4,2,2,4,0,0,0,1,0,1,5,3,8,5,8,13,0,0,0,0,0,0,0,0,0,1,0,1
Deiveson Figueiredo,Tim Elliott,2019-10-12,8,5,13,26,12,38,8,5,13,33,12,45,0,1,1,1,2,3,8,5,13,10,6,16,0,0,0,1,4,5,0,0,0,15,2,17,6,4,10,20,8,28,2,1,3,6,4,10,0,0,0,0,0,0
Deiveson Figueiredo,Jarred Brooks,2017-10-28,19,29,48,30,22,52,22,30,52,82,30,112,1,3,4,7,4,11,9,22,31,26,20,46,10,7,17,4,1,5,0,0,0,0,1,1,12,28,40,6,15,21,7,1,8,7,3,10,0,0,0,17,4,21
Delson Heleno,Francisco Trinaldo,2012-06-23,3,1,4,21,5,26,4,1,5,41,6,47,0,4,4,0,0,0,1,1,2,9,4,13,1,0,1,12,1,13,1,0,1,0,0,0,1,1,2,2,1,3,2,0,2,8,0,8,0,0,0,11,4,15
Demetrious Johnson,Wilson Reis,2017-04-15,108,78,186,16,152,168,135,81,216,18,152,170,1,1,2,0,6,6,81,73,154,2,137,139,16,4,20,2,12,14,11,1,12,12,3,15,72,64,136,16,151,167,8,8,16,0,1,1,28,6,34,0,0,0
Demetrious Johnson,Henry Cejudo,2016-04-23,21,12,33,6,11,17,35,12,47,8,11,19,0,0,0,1,0,1,10,9,19,1,6,7,9,2,11,3,2,5,2,1,3,2,3,5,6,8,14,2,7,9,15,2,17,4,4,8,0,2,2,0,0,0
Demetrious Johnson,Kyoji Horiguchi,2015-04-25,66,55,121,31,60,91,149,59,208,61,66,127,14,8,22,1,4,5,21,35,56,18,52,70,31,9,40,8,5,13,14,11,25,5,3,8,39,47,86,21,54,75,16,7,23,10,6,16,11,1,12,0,0,0
Demetrious Johnson,Henry Cejudo,2018-08-04,81,53,134,51,96,147,121,53,174,80,98,178,1,1,2,3,8,11,23,39,62,29,87,116,19,2,21,18,7,25,39,12,51,4,2,6,73,52,125,31,89,120,7,1,8,17,5,22,1,0,1,3,2,5
Demetrious Johnson,Tim Elliott,2016-12-03,28,30,58,24,37,61,86,30,116,110,47,157,5,2,7,4,0,4,16,23,39,15,21,36,4,3,7,8,12,20,8,4,12,1,4,5,15,24,39,12,33,45,4,4,8,11,3,14,9,2,11,1,1,2
Demetrious Johnson,Joseph Benavidez,2013-12-14,7,7,14,4,23,27,9,7,16,4,23,27,0,1,1,0,0,0,5,6,11,1,19,20,0,0,0,0,4,4,2,1,3,3,0,3,3,7,10,4,22,26,0,0,0,0,1,1,4,0,4,0,0,0
Demetrious Johnson,Norifumi Yamamoto,2011-02-05,38,64,102,16,49,65,70,64,134,17,49,66,10,5,15,0,2,2,17,56,73,12,47,59,12,3,15,3,2,5,9,5,14,1,0,1,23,59,82,14,45,59,12,5,17,2,3,5,3,0,3,0,1,1
Demetrious Johnson,John Dodson,2013-01-26,127,120,247,57,99,156,181,122,303,71,99,170,5,10,15,1,3,4,70,84,154,25,84,109,29,15,44,23,12,35,28,21,49,9,3,12,51,107,158,40,93,133,73,11,84,16,6,22,3,2,5,1,0,1
Demetrious Johnson,John Moraga,2013-07-27,67,28,95,32,44,76,112,38,150,53,50,103,12,0,12,1,4,5,20,19,39,13,40,53,23,5,28,11,3,14,24,4,28,8,1,9,25,17,42,16,37,53,10,5,15,10,3,13,32,6,38,6,4,10
Demetrious Johnson,Ian McCall,2012-06-08,90,63,153,57,75,132,105,64,169,94,78,172,2,6,8,1,10,11,23,47,70,16,61,77,41,11,52,27,9,36,26,5,31,14,5,19,45,54,99,26,61,87,45,9,54,31,13,44,0,0,0,0,1,1
Demetrious Johnson,Ali Bagautinov,2014-06-14,133,82,215,36,86,122,164,84,248,66,92,158,0,4,4,2,10,12,51,58,109,9,70,79,41,11,52,24,7,31,41,13,54,3,9,12,59,61,120,11,70,81,73,21,94,25,16,41,1,0,1,0,0,0
Demetrious Johnson,Ian McCall,2012-03-02,75,70,145,61,83,144,103,72,175,139,90,229,0,4,4,4,5,9,44,64,108,31,68,99,11,1,12,16,4,20,20,5,25,14,11,25,68,65,133,36,72,108,7,5,12,12,6,18,0,0,0,13,5,18
Demetrious Johnson,Miguel Torres,2011-05-28,13,10,23,10,9,19,63,29,92,95,20,115,5,0,5,0,1,1,2,7,9,3,7,10,6,2,8,7,1,8,5,1,6,0,1,1,9,9,18,1,7,8,4,1,5,8,1,9,0,0,0,1,1,2
Demetrious Johnson,Dominick Cruz,2011-10-01,63,114,177,60,60,120,145,128,273,146,80,226,1,5,6,10,9,19,28,101,129,26,57,83,24,8,32,27,3,30,11,5,16,7,0,7,45,107,152,30,58,88,18,7,25,25,0,25,0,0,0,5,2,7
Demetrious Johnson,Ray Borg,2017-10-07,64,17,81,13,16,29,172,40,212,22,17,39,8,0,8,3,7,10,24,10,34,8,13,21,34,3,37,4,2,6,6,4,10,1,1,2,16,12,28,7,14,21,10,1,11,5,2,7,38,4,42,1,0,1
Demetrious Johnson,John Dodson,2015-09-05,88,83,171,58,63,121,163,89,252,108,66,174,4,9,13,1,2,3,57,68,125,16,53,69,23,13,36,28,8,36,8,2,10,14,2,16,64,71,135,45,58,103,24,12,36,13,5,18,0,0,0,0,0,0
Demetrious Johnson,Joseph Benavidez,2012-09-22,77,79,156,44,206,250,96,81,177,53,206,259,5,5,10,0,7,7,29,67,96,23,181,204,33,9,42,12,16,28,15,3,18,9,9,18,45,69,114,34,189,223,23,9,32,9,17,26,9,1,10,1,0,1
Demetrious Johnson,Chris Cariaso,2014-09-27,27,16,43,6,21,27,47,19,66,13,22,35,1,0,1,0,1,1,12,12,24,1,18,19,13,2,15,2,1,3,2,2,4,3,2,5,7,11,18,4,21,25,10,1,11,2,0,2,10,4,14,0,0,0
Demian Maia,Anderson Silva,2010-04-10,10,42,52,61,50,111,11,42,53,62,50,112,0,13,13,0,0,0,9,37,46,29,35,64,0,3,3,6,4,10,1,2,3,26,11,37,8,40,48,57,45,102,2,2,4,0,0,0,0,0,0,4,5,9
